COLLECTION NUMBER,ITEM NAME,CATEGORY,SILHOUETTE,GENDER,STYLE NUMBER,WEBSITE NAME,SUB CATEGORY,SIZE RANGE,DATE,FABRIC TOP,DESIGNER,COLOR COMBO,PRINT NAME,FABRIC BOTTOM,FABRIC FULL GARMENT,PRINT TECHNIQUE,ITEM NAME LENGTH
Y25-2-KIDS,NEXTGAME KB LS PANTSET,KIDS- BOYS,LONG SLEEVE PANT SET,BOYS,Y25-2 BP01,NEXTGAME - BOYS L/S PANT SET,L/S PANT SET,2-14 YRS,- 03/03/2025,100% Cotton SINGLE JERSEY,MADHUMI,"IVORY AND COLOR SPLASHES, BLUE",NEXT GAME,100% Cotton SINGLE JERSEY,N/A,"RUBBER PRINT, GLOW IN THE DARK",22
Y25- CAPSULE,CB KB OS SS SHORT SET,KIDS- BOYS,SHORT SLEEVE SHORT SET,BOYS,Y25- CAP BP02,COLOR BLOCKED BOYS OVERSIZED SHORT SET,SHORT SLEEVE SHORT SET,2 - 14 YRS,-,100% COTTON,NAGI,"LAVENDER, LT ORANGE AND OFF WHITE",N/A,100% COTTON,N/A,N/A,21
Y25- CAPSULE,GOAL KB SL SHORTSET,KIDS- BOYS,SLEEVELESS SHORT SET,BOYS,Y25-CAP BP03,GOAL - BOYS SLEEVELESS SHORT SET,SLEEVELESS SHORT SET,2-14 YRS,-,100% Cotton,NAGI,"GRAY MELANGE AND SPORT AOP, AIRFORCE NAVY",GOAL,100% Cotton,N/A,RUBBER PRINT,19
Y25-CAPSULE-KIDS,3PACK KG SS TSHIRT,KIDS- BOYS,SHORT SLEEVE TSHIRT,BOYS,Y25-CAP BP04,3PACK - BOYS SHORT SLEEVE TSHIRT,SHORT SLEEVE TSHIRT,2-8 YRS,-,"100% COTTON, 95% COTTON 5% SPANDEX, 100% COTTON",NAGI,"OFF WHITE/RED & BLUE, CREAM/YELLOW/ORANGE & GREEN, BLUE","FIRE TRUCK, DINO, SPACE SHIP",N/A,N/A,"WATERBASE, WATERBASE, APPLIQUE & EMBOIDERY",18
Y25- CAPSULE- KIDS,GMRZONE KB SS PANT SET,KIDS- BOYS,SH ORT SLEEVE PANT SET,BOYS,Y25-CAP BP05,GAME ZONE - BOYS SHORT SLEEVE PANT SET,SHORT SLEEVE PANT SET,2-14 YRS,-,100% COTTON,NAGI,ORANGE AND BLUE,GAME ZONE,60% COTTON 40% POLYESTER,N/A,"RUBBER PRINT, GLOW IN THE DARK",22
Y25- CAPSULE,UNICORN KG EYE MASK,KIDS- GIRLS,EYE MASK,GIRLS,Y25- CAP EM01,UNICORN - KIDS GIRLS EYE MASK,EYE MASK,FREE SIZE,-,N/A,NAGI,PINK AND SILVER,UNICORN,N/A,100% POLYESTER,EMBROIDERY,19
Y25- CAPSULE,CROWN KG EYE MASK,KIDS- GIRLS,EYE MASK,GIRLS,Y25- CAP EM02,CROWN - KIDS GIRLS EYE MASK,EYE MASK,FREE SIZE,-,N/A,NAGI,WHITE AND GOLD,N/A,N/A,100% POLYESTER,N/A,17
Y25- CAPSULE,DINO KB EYE MASK,KIDS- BOYS,EYE MASK,BOYS,Y25- CAP EM03,DINO - KIDS BOYS EYE MASK,EYE MASK,FREE SIZE,-,N/A,NAGI,GREEN,DINO,N/A,100% COTTON,"RUBBER PRINT, PUFF PRINT",16
Y25 -CAPSULE,STA R KG SS PANT SET,KID S- GIRLS,SHORT SLEEVE PANT SET,GIRLS,Y25-CAP GP02,STAR CHASER KIDS GIRLS SHORT SLEEVE PANT SET,SHORT SLEEVE PANT SET,2-14 YRS,-,100% COTTON,Nagi,"PINK ,BLUE STAR AOP",MOON,100% COTTON,N/A,RUBBER/SPONGE PUFF PRINT,20
Y25-CAPSULE,HEARTS KG SL SHORT SET,KIDS- GIRLS,SLEEVELESS SHORT SET,GIRLS,Y25- CAP GP03,HEARTS - GIRLS SLEEVELESS SHORT SET,SLEEVELESS SHORT SET,2-14 YRS,-,100% COTTON,NAGI,"NAVY BLUE, PINK AND HEARTS AOP",HEARTS,1 00% COTTON,N/A,N/A,22
Y25-CAPSULE-KIDS,3PACK KG SS TSHIRT,KIDS- GIRLS,SHORT SLEEVE TSHIRT,GIRLS,Y25-CAP GP04,3PACK - GIRLS SHORT SLEEVE TSHIRT,SHORT SLEEVE TSHIRT,2-8 YRS,-,"100% COTTON, 95% COTTON 5% SPANDEX, 100% COTTON",NAGI,"LAVENDER, PINK, OFF WHITE","MERMAID, UNICORN, BALLERINA",N/A,N/A,"RAINBOW FOIL & RUBBER , RUBBER & APPLIQUE, WATERBASE & APPLIQUE",18
Y25-2-KIDS,TRICER KB SS SHORT SET,KIDS- BOYS,SHORT SLEEVE SHORT SET,BOYS,Y25-2 BP02,TRICERATOPS- BOYS S/S SHORT SET,S/S SHORT SET,2-8 YRS,- 31/03/2025,100% COTTON SINGLE JERSEY,NAGI,"GREEN, WHITE AND DINO AOP",TRICERATOPS,100% BCI COTTON INTERLOCK,N/A,"PUFF PRINT, RUBBER PRINT",22
Y25-2-KIDS,T.REX KB SS SHORT SET,KIDS- BOYS,SHORT SLEEVE SHORT SET,BOYS,Y25-2 BP03,T.REX - BOYS SHORT SLEEVE SHORT SET,SHORT SLEEVE SHORT SET,8-14 YRS,-,100% COTTON,NAGI,"OFF WHITE, WHITE AND BLUE STRIPE",DINO,60% COTTON 40% POLY,N/A,WATERBASE PRINT AND GLOW IN THE DARK,21
Y25-2-KIDS,FLORAL KG SS SHORT SET,KIDS- GIRLS,SHORT SLEEVE SHORT SET,GIRLS,Y25-2 GP01,FLORAL UNICORN- GIRLS S/S SHORT SET,S/S SHORT SET,2-14 YRS,- 02/04/2025,"60% COTTON, 40% POLYESTER",NAGI,"BLUE, IVORY AND BLUE FLORAL AOP",UNICORN,100% COTTON,N/A,RUBBER PRINT,22
Y25-2-KIDS,WOODLAND KG LS PANTSET,KIDS- GIRLS,LONG SLEEVE PANT SET,GIRLS,Y25-2 GP02,WOODLAND ANIMALS- GIRLS LONG SLEEVE PANT SET,L/S PANT SET,2-14 YRS,-,100% COTTON,NAGI,"PINK, ANIMALS & LEAVES AOP",WOODLAND,"95% COTTON, 5% ELASTANE",N/A,"RUBBER PRINT,THERM SENSITIVE",22
Y25-2-KIDS,MERMAID KG SS PANT SET,KIDS- GIRLS,SHORT SLEEVE PANT SET,GIRLS,Y25-2 GP03,MERMAID - GIRLS SHORT SLEEVE PANT SET,S/S PANT SET,2-14 YRS,-,100% COTTON,MADHUMI,"IVORY, BLUE AND RAINBOW AOP",MERMAID,60% COTTON 40% POLYESTER,N/A,"WATER BASE, GLOW IN THE DARK",22
Y25- CAPSULE,ROKT KB FO SS PANTSET,KIDS- BOYS,SHORT SLEEVE PANT SET,BOYS,Y25- CAP BP01,ROCKET BOYS FRONT OPEN SHORT SLEEVE PANT SET,SHORT SLEEVE PANT SET,2 - 14 YRS,-,100% COTTON,NAGI,BLUE AND WHITE STRIPE AOP,ROCKET,100% COTTON,N/A,EMBROIDERY,21
Y25- CAPSULE- KIDS,BERRY KB SS FO PANTSET,KIDS- GIRLS,SHORT SLEEVE FRONT OPEN PANTSET,GIRLS,Y25- CAP GP01,BERRY - GIRLS SHORT SLEEVE FRONT OPEN PANT SET,SHORT SLEEVE PANT SET,2 - 14 YRS,-,100% COTTON,NAGI,PINK AND WHITE STRIPE,STRAWBERRY,100% COTTON,N/A,STRAWBERRY FRAGRANCE RUBBER PRINT,22
